Time (s),Channel 7,Channel 5,Channel 6,Channel 8,Channel 25,Channel 23,Channel 24,Channel 26,Channel 27,Channel 1,Channel 2,Channel 14,Channel 16,Channel 17
0.0000000000e+000,2.3036695944e+002,7.8537687740e+001,4.1695372780e+002,1.7531311898e+001,2.1740408056e+002,5.3409708995e+002,1.0529253852e+002,1.8005356419e+002,3.3676528798e+002,1.3677882165e+002,1.0661274833e+002,1.5448431231e+002,7.9032092945e+003,6.7224650283e+002
5.0000000000e-001,2.6297323824e+001,9.6017183365e+000,4.9649664469e+001,3.1328836614e+000,2.8284909261e+001,6.9782052275e+001,2.6180734076e+001,2.1341715463e+001,4.4466530126e+001,1.8259128081e+001,1.5262523179e+001,1.6267441272e+001,9.9516595281e+002,8.9412628951e+001
1.0000000000e+000,8.2224077147e+000,4.3311866529e+000,7.8860569106e+000,3.5181817749e+000,5.9075338005e+000,9.6032755713e+000,1.9671937398e+001,3.7013783358e+000,8.9486625235e+000,1.0478137653e+001,8.5008363167e+000,4.5574098632e+000,2.3295109803e+001,1.3196499464e+001
1.5000000000e+000,9.0783446264e+000,4.9238663227e+000,5.2087611162e+000,3.5517751240e+000,6.6074049283e+000,1.1381285406e+001,1.2333836629e+001,3.5003528422e+000,7.7420136927e+000,6.0941008370e+000,5.3917022230e+000,5.7051718654e+000,1.4194824428e+000,1.3271654552e+001
2.0000000000e+000,1.4108542874e+001,3.6877715384e+000,7.5276181991e+000,3.4846384187e+000,4.1393292174e+000,7.6472461620e+000,1.8496224562e+001,4.3636013314e+000,8.2651175367e+000,9.9498481551e+000,7.5250500805e+000,6.9627918030e+000,5.9628690265e-001,1.4726774980e+001
2.5000000000e+000,1.0389074939e+001,3.8447265607e+000,4.5882928586e+000,2.4510040353e+000,5.1605774090e+000,8.3880483626e+000,1.4908833313e+001,4.0479850481e+000,4.0087294236e+000,8.0530498257e+000,5.7213259314e+000,1.0358863583e+001,4.1833671642e-001,1.8210838739e+001
3.0000000000e+000,1.5455864858e+001,2.6292521654e+000,6.3327681254e+000,3.9174016925e+000,5.0817727295e+000,1.1518257131e+001,1.3125926205e+001,2.5062552401e+000,7.2184458020e+000,1.0336927083e+001,6.0909033909e+000,5.5183803934e+000,5.5240442976e-001,1.7681744628e+001
3.5000000000e+000,9.9414916195e+000,5.3819801675e+000,8.5316339887e+000,5.0896517348e+000,5.8653287990e+000,1.1484838180e+001,1.6948113926e+001,2.6310769470e+000,9.5590104642e+000,1.3490525369e+001,8.7438510799e+000,7.2570369510e+000,3.6871761333e-001,1.9495752195e+001
4.0000000000e+000,1.2597370691e+001,3.0248185907e+000,8.8485242838e+000,4.2418182540e+000,5.1441924305e+000,9.4929962313e+000,1.7509553048e+001,3.9656869170e+000,6.3429025565e+000,9.9822679819e+000,7.1433387286e+000,7.6093402897e+000,4.1315814302e-001,1.4986625688e+001
4.5000000000e+000,1.1690276420e+001,3.7938648241e+000,8.1812896940e+000,4.4539985942e+000,9.0817845327e+000,7.5337591071e+000,1.3334808989e+001,4.4925380913e+000,7.4776224054e+000,6.5916087775e+000,4.6480453501e+000,5.0025514625e+000,4.5260550062e-001,1.6048939398e+001
