Time (s),Channel 7,Channel 5,Channel 6,Channel 8,Channel 25,Channel 23,Channel 24,Channel 26,Channel 27,Channel 1,Channel 2,Channel 14,Channel 16,Channel 17
0.0000000000e+000,7.4853466585e+007,2.4007565110e+007,1.5024810144e+008,5.0829185578e+006,6.1337404308e+007,1.6389912706e+008,2.6838292347e+007,5.1120057399e+007,9.1977365141e+007,4.3157635983e+007,3.6735306477e+007,4.6828310166e+007,2.3255845188e+009,1.9175463962e+008
5.0000000000e-001,3.2868905665e+008,1.2591751940e+008,6.4952356195e+008,2.2533825129e+007,2.8007994980e+008,7.8386799203e+008,1.1216540850e+008,2.3231769837e+008,4.1407285710e+008,2.0105907328e+008,1.8139816716e+008,2.0930376030e+008,1.0281337294e+010,9.2428508856e+008
1.0000000000e+000,1.5506322375e+009,6.2314520317e+008,3.0877536925e+009,1.0369894263e+008,1.3022844419e+009,3.7230935533e+009,5.5269922522e+008,1.1469658773e+009,1.8674856604e+009,9.1148279398e+008,8.7696177079e+008,9.1315077545e+008,4.9181366644e+010,4.7030824426e+009
1.5000000000e+000,6.6156896262e+009,2.7086744782e+009,1.5049180639e+010,4.8445069529e+008,5.9638032087e+009,1.5512543391e+010,2.2373960012e+009,5.7883940278e+009,8.1715674335e+009,4.2645057872e+009,4.1059731408e+009,4.1296105750e+009,2.0618424764e+011,2.0793376245e+010
2.0000000000e+000,3.2093473350e+010,1.2550377628e+010,6.0423639552e+010,2.2147840643e+009,2.7851680872e+010,6.7249965552e+010,1.0497747687e+010,2.3246435798e+010,3.9561836220e+010,1.9521932932e+010,1.8076555486e+010,1.9457386596e+010,8.8005274524e+011,9.8578311381e+010
2.5000000000e+000,1.5158477809e+011,5.8064730081e+010,2.7233879646e+011,1.1285508252e+010,1.2266168445e+011,2.7600738334e+011,5.1126794914e+010,9.7307586841e+010,1.7574573686e+011,9.2398352425e+010,8.5114274968e+010,8.5914443884e+010,3.8577742830e+012,4.9388384424e+011
3.0000000000e+000,6.2230900218e+011,2.5865291037e+011,1.2785568696e+012,5.6690925055e+010,5.6583362281e+011,1.1228199749e+012,2.5505238530e+011,4.6638313816e+011,7.8681126813e+011,3.6338300862e+011,4.0750068197e+011,3.8059243568e+011,1.7448443948e+013,2.5394015340e+012
3.5000000000e+000,2.5309365690e+012,1.0804964703e+012,5.5275502044e+012,2.9633837266e+011,2.6698208870e+012,4.8258085277e+012,1.2254685667e+012,2.2307310145e+012,3.9090868618e+012,1.6004906318e+012,1.8834714897e+012,1.7551599726e+012,7.7945058247e+013,1.1262144553e+013
4.0000000000e+000,9.9982784991e+012,4.5560426765e+012,2.3260162096e+013,1.2303165926e+012,1.2705985073e+013,1.9772762570e+013,5.4764024156e+012,9.7687324019e+012,2.0363426386e+013,7.1931531446e+012,7.7605161133e+012,7.7635484584e+012,3.5029127004e+014,4.8587278628e+013
4.5000000000e+000,4.2315417855e+013,2.0736813789e+013,9.9192248845e+013,5.7987853474e+012,5.2491877613e+013,8.0813906693e+013,2.5101321873e+013,4.8159857294e+013,1.0324951778e+014,3.1715637382e+013,3.7901638054e+013,3.2283186834e+013,1.5250559281e+015,2.3513008994e+014
